"banco","data","retorno","z_score","n_bancos_na_data","classificacao"
"ITUB4",2020-03-12,-10.34,-5.72,8,"Sistêmico (>=2 bancos na data)"
"ITUB4",2020-03-13,10.49,5.75,6,"Sistêmico (>=2 bancos na data)"
"ITUB4",2020-03-16,-9.65,-5.34,8,"Sistêmico (>=2 bancos na data)"
"ITUB4",2020-03-24,9.21,5.05,5,"Sistêmico (>=2 bancos na data)"
"BBDC4",2020-03-12,-14.39,-6.56,8,"Sistêmico (>=2 bancos na data)"
"BBDC4",2020-03-13,15.59,7.09,6,"Sistêmico (>=2 bancos na data)"
"BBDC4",2020-03-16,-15.4,-7.02,8,"Sistêmico (>=2 bancos na data)"
"BBDC4",2020-03-18,-12.39,-5.65,4,"Sistêmico (>=2 bancos na data)"
"BBDC4",2020-03-24,14.02,6.38,5,"Sistêmico (>=2 bancos na data)"
"BBDC4",2022-11-09,-19.1,-8.7,1,"ISOLADO (1 banco na data)"
"BBDC4",2024-02-07,-17.32,-7.89,1,"ISOLADO (1 banco na data)"
"BBDC4",2025-05-08,14.53,6.62,1,"ISOLADO (1 banco na data)"
"BBAS3",2020-03-09,-11.7,-5.31,6,"Sistêmico (>=2 bancos na data)"
"BBAS3",2020-03-12,-14.17,-6.44,8,"Sistêmico (>=2 bancos na data)"
"BBAS3",2020-03-13,15.5,7.02,6,"Sistêmico (>=2 bancos na data)"
"BBAS3",2020-03-16,-18.26,-8.29,8,"Sistêmico (>=2 bancos na data)"
"BBAS3",2020-03-18,-18.04,-8.19,4,"Sistêmico (>=2 bancos na data)"
"BBAS3",2020-03-24,15.81,7.16,5,"Sistêmico (>=2 bancos na data)"
"BBAS3",2020-03-25,11.33,5.13,2,"Sistêmico (>=2 bancos na data)"
"BBAS3",2020-04-24,-14.35,-6.52,1,"ISOLADO (1 banco na data)"
"BBAS3",2020-04-28,12.6,5.7,2,"Sistêmico (>=2 bancos na data)"
"BBAS3",2021-02-22,-12.38,-5.62,1,"ISOLADO (1 banco na data)"
"BBAS3",2025-05-16,-13.57,-6.16,1,"ISOLADO (1 banco na data)"
"SANB11",2020-03-09,-10.44,-5.05,6,"Sistêmico (>=2 bancos na data)"
"SANB11",2020-03-12,-14.47,-7,8,"Sistêmico (>=2 bancos na data)"
"SANB11",2020-03-13,11.74,5.67,6,"Sistêmico (>=2 bancos na data)"
"SANB11",2020-03-16,-12.72,-6.15,8,"Sistêmico (>=2 bancos na data)"
"SANB11",2020-03-24,12.58,6.08,5,"Sistêmico (>=2 bancos na data)"
"SANB11",2020-04-28,10.85,5.24,2,"Sistêmico (>=2 bancos na data)"
"BPAC11",2019-08-23,-16.48,-5.75,1,"ISOLADO (1 banco na data)"
"BPAC11",2019-08-26,-20.43,-7.11,1,"ISOLADO (1 banco na data)"
"BPAC11",2019-08-27,16.02,5.49,1,"ISOLADO (1 banco na data)"
"BPAC11",2020-03-09,-19.93,-6.94,6,"Sistêmico (>=2 bancos na data)"
"BPAC11",2020-03-11,-14.34,-5.01,1,"ISOLADO (1 banco na data)"
"BPAC11",2020-03-12,-31.28,-10.87,8,"Sistêmico (>=2 bancos na data)"
"BPAC11",2020-03-13,24.6,8.46,6,"Sistêmico (>=2 bancos na data)"
"BPAC11",2020-03-16,-16.79,-5.85,8,"Sistêmico (>=2 bancos na data)"
"BPAC11",2020-03-24,22.17,7.62,5,"Sistêmico (>=2 bancos na data)"
"BRSR6",2020-03-09,-14.71,-7.09,6,"Sistêmico (>=2 bancos na data)"
"BRSR6",2020-03-10,13.98,6.73,1,"ISOLADO (1 banco na data)"
"BRSR6",2020-03-12,-13.78,-6.65,8,"Sistêmico (>=2 bancos na data)"
"BRSR6",2020-03-16,-10.98,-5.29,8,"Sistêmico (>=2 bancos na data)"
"BRSR6",2020-03-18,-15.47,-7.46,4,"Sistêmico (>=2 bancos na data)"
"ABCB4",2020-03-09,-11.28,-5.68,6,"Sistêmico (>=2 bancos na data)"
"ABCB4",2020-03-12,-12.07,-6.08,8,"Sistêmico (>=2 bancos na data)"
"ABCB4",2020-03-16,-16.21,-8.16,8,"Sistêmico (>=2 bancos na data)"
"ABCB4",2020-03-18,-14.66,-7.38,4,"Sistêmico (>=2 bancos na data)"
"ABCB4",2020-03-25,15.77,7.89,2,"Sistêmico (>=2 bancos na data)"
"BPAN4",2019-05-22,20.96,5.65,1,"ISOLADO (1 banco na data)"
"BPAN4",2020-03-09,-21.54,-5.87,6,"Sistêmico (>=2 bancos na data)"
"BPAN4",2020-03-12,-41.01,-11.15,8,"Sistêmico (>=2 bancos na data)"
"BPAN4",2020-03-13,38.05,10.29,6,"Sistêmico (>=2 bancos na data)"
"BPAN4",2020-03-16,-19.31,-5.27,8,"Sistêmico (>=2 bancos na data)"
"BPAN4",2020-06-03,19.09,5.15,1,"ISOLADO (1 banco na data)"
"BPAN4",2025-10-14,23.5,6.34,1,"ISOLADO (1 banco na data)"
